"","Contributor","Total","PACs","Individuals","Senator"
"5211","American Hospital Assn","$10000","$10000","$0","Doris Matsui"
"5212","AT&T Inc","$10000","$10000","$0","Doris Matsui"
"5213","Mzekewe Ltdco","$3000","$0","$3000","Krystle Matthews"
"5214","K Rowe Investments","$2900","$0","$2900","Krystle Matthews"
"5215","Anastopoulo Law Firm","$2000","$0","$2000","Krystle Matthews"
"5216","Get Right Inc","$2000","$0","$2000","Krystle Matthews"
"5217","Hart Law Firm","$2000","$0","$2000","Krystle Matthews"
"5218","Charleston County School District","$1500","$0","$1500","Krystle Matthews"
"5219","Condon Family Law","$1100","$0","$1100","Krystle Matthews"
"5220","iQor US","$1088","$0","$1088","Krystle Matthews"
"5221","PayPal Inc","$1066","$0","$1066","Krystle Matthews"
"5222","Blue Acorn Ici","$1000","$0","$1000","Krystle Matthews"
"5223","Jersey Mortgage","$5800","$0","$5800","Darius Mayfield"
"5224","Jersey Mortgage Co","$5800","$0","$5800","Darius Mayfield"
"5225","Tree of Life Foundation","$5800","$0","$5800","Darius Mayfield"
"5226","Bristol-Myers Squibb","$5600","$0","$5600","Darius Mayfield"
"5227","Reydel Vw","$3150","$0","$3150","Darius Mayfield"
"5228","Capital Counsel","$2900","$0","$2900","Darius Mayfield"
"5229","Kirke Financial Services","$2900","$0","$2900","Darius Mayfield"
"5230","Ncic Inmate Communications","$2900","$0","$2900","Darius Mayfield"
"5231","Power Monitors","$2900","$0","$2900","Darius Mayfield"
"5232","Societe Generale","$2878","$0","$2878","Darius Mayfield"
"5233","Democracy Engine","$225928","$0","$225928","Lucy McBath"
"5234","EMILY's List","$49863","$10000","$39863","Lucy McBath"
"5235","Emory University","$28855","$0","$28855","Lucy McBath"
"5236","Delta Air Lines","$20255","$0","$20255","Lucy McBath"
"5237","Comcast Corp","$18525","$0","$18525","Lucy McBath"
"5238","Bloomberg Lp","$15725","$0","$15725","Lucy McBath"
"5239","Emerson Collective","$15250","$0","$15250","Lucy McBath"
"5240","New Democrat Coalition","$14900","$10000","$4900","Lucy McBath"
"5241","DLA Piper","$13800","$5000","$8800","Lucy McBath"
"5242","Democratic Congressional Campaign Cmte","$13600","$0","$13600","Lucy McBath"
"5243","Venture Engineering","$2500","$0","$2500","Mark McBride"
"5244","Springer Eubank","$2000","$0","$2000","Mark McBride"
"5245","Stover Co","$2000","$0","$2000","Mark McBride"
"5246","Ravenel Construction","$1500","$0","$1500","Mark McBride"
"5247","Bee Well Pharmacy","$1000","$0","$1000","Mark McBride"
"5248","Maguire Products","$1000","$0","$1000","Mark McBride"
"5249","Southeastern General Contracti","$1000","$0","$1000","Mark McBride"
"5250","Pencor Services","$600","$0","$600","Mark McBride"
"5251","Pursecarerx","$500","$0","$500","Mark McBride"
"5252","Strand Supply","$500","$0","$500","Mark McBride"
"5253","Enterprise Products Partners","$49200","$0","$49200","Kevin McCarthy"
"5254","Comcast Corp","$40600","$10000","$30600","Kevin McCarthy"
"5255","Altria Group","$34400","$10000","$24400","Kevin McCarthy"
"5256","Rock Holdings","$33200","$10000","$23200","Kevin McCarthy"
"5257","Omnicom Group","$27800","$0","$27800","Kevin McCarthy"
"5258","ConocoPhillips","$25800","$10000","$15800","Kevin McCarthy"
"5259","Amgen Inc","$22000","$5000","$17000","Kevin McCarthy"
"5260","Kirkland & Ellis","$21800","$0","$21800","Kevin McCarthy"
"5261","Federated Investors Inc","$21600","$0","$21600","Kevin McCarthy"
"5262","Harbinger Strategies","$20900","$0","$20900","Kevin McCarthy"
"5263","Democracy Engine","$56850","$0","$56850","Michael McCaul"
"5264","Bergen Pain Management","$14600","$0","$14600","Michael McCaul"
"5265","Heritage Title Co of Austin","$14500","$0","$14500","Michael McCaul"
"5266","Akin, Gump et al","$13750","$5500","$8250","Michael McCaul"
"5267","Founders Fund","$11600","$0","$11600","Michael McCaul"
"5268","Marcus Foundation","$11600","$0","$11600","Michael McCaul"
"5269","Quik Drugs Pharmacy","$11600","$0","$11600","Michael McCaul"
"5270","Western National Group","$11600","$0","$11600","Michael McCaul"
"5271","Patriot Insurance (Texas)","$11598","$0","$11598","Michael McCaul"
"5272","Bennett Ventures","$11200","$0","$11200","Michael McCaul"
"5273","Hantz Group","$14700","$0","$14700","Lisa McClain"
"5274","Rock Holdings","$12500","$10000","$2500","Lisa McClain"
"5275","Highland Engineering","$11200","$0","$11200","Lisa McClain"
"5276","American Israel Public Affairs Cmte","$10000","$10000","$0","Lisa McClain"
"5277","Boeing Co","$10000","$10000","$0","Lisa McClain"
"5278","Council of Insurance Agents & Brokers","$10000","$10000","$0","Lisa McClain"
"5279","Credit Union National Assn","$10000","$10000","$0","Lisa McClain"
"5280","E-PAC","$10000","$10000","$0","Lisa McClain"
"5281","Eye of the Tiger PAC","$10000","$10000","$0","Lisa McClain"
"5282","Great Lakes Sugar Beet Growers Assn","$10000","$10000","$0","Lisa McClain"
"5283","Akt Development","$17400","$0","$17400","Tom McClintock"
"5284","American Israel Public Affairs Cmte","$12400","$7900","$4500","Tom McClintock"
"5285","Armour Properties","$11600","$0","$11600","Tom McClintock"
"5286","Dimensional Fund Advisors","$11600","$0","$11600","Tom McClintock"
"5287","Marcus Foundation","$11600","$0","$11600","Tom McClintock"
"5288","Quest Technology","$11600","$0","$11600","Tom McClintock"
"5289","Standard Industries","$11600","$0","$11600","Tom McClintock"
"5290","Western National Group","$11600","$0","$11600","Tom McClintock"
"5291","Credit Union National Assn","$10000","$10000","$0","Tom McClintock"
"5292","Eureka PAC","$10000","$10000","$0","Tom McClintock"
"5293","Basis Educational Group","$5800","$0","$5800","Mark McCloskey"
"5294","Gully Transportation","$5800","$0","$5800","Mark McCloskey"
"5295","Parklane","$4000","$0","$4000","Mark McCloskey"
"5296","Gateway Outdoor Advertising","$3900","$0","$3900","Mark McCloskey"
"5297","Comm'L Real Estate Bkr","$2900","$0","$2900","Mark McCloskey"
"5298","Content Developer","$2900","$0","$2900","Mark McCloskey"
"5299","Dobbs Tire & Auto Centers","$2900","$0","$2900","Mark McCloskey"
"5300","England Police Dept","$2900","$0","$2900","Mark McCloskey"
"5301","Global Rescue","$2900","$0","$2900","Mark McCloskey"
"5302","Industrail Real Estate","$2900","$0","$2900","Mark McCloskey"
"5303","Heartland Realty Investors","$34800","$0","$34800","Betty McCollum"
"5304","General Dynamics","$34000","$10000","$24000","Betty McCollum"
"5305","General Atomics","$27900","$15000","$12900","Betty McCollum"
"5306","Boeing Co","$25700","$10000","$15700","Betty McCollum"
"5307","Van Scoyoc Assoc","$15873","$1673","$14200","Betty McCollum"
"5308","Kaplan, Strangis & Kaplan","$14500","$0","$14500","Betty McCollum"
"5309","Starkey Hearing Technologies","$14000","$0","$14000","Betty McCollum"
"5310","3M Co","$13325","$7500","$5825","Betty McCollum"
"5311","University Of Minnesota","$12100","$0","$12100","Betty McCollum"
"5312","Ansys Inc","$11600","$0","$11600","Betty McCollum"
"5313","DaVita Inc","$5600","$0","$5600","Ike McCorkle"
"5314","K Rowe Investments","$2900","$0","$2900","Ike McCorkle"
"5315","IBM Corp","$2000","$0","$2000","Ike McCorkle"
"5316","Hendrickson Construction","$1858","$0","$1858","Ike McCorkle"
"5317","Chevron Corp","$1552","$0","$1552","Ike McCorkle"
"5318","Civhc","$1500","$0","$1500","Ike McCorkle"
"5319","Asi Datamyte","$1000","$0","$1000","Ike McCorkle"
"5320","Charleston Law School","$1000","$0","$1000","Ike McCorkle"
"5321","Hendler Flores Law","$1000","$0","$1000","Ike McCorkle"
"5322","Van Wagner Communications","$1000","$0","$1000","Ike McCorkle"
"5323","Common Practice LLC","$5800","$0","$5800","Holly McCormack"
"5324","MongoDB Inc","$5800","$0","$5800","Holly McCormack"
"5325","Kaiser Permanente","$3610","$0","$3610","Holly McCormack"
"5326","Ashley Garrett Photography","$2900","$0","$2900","Holly McCormack"
"5327","Catawba Valley LLC","$2900","$0","$2900","Holly McCormack"
"5328","Columbus State University","$2900","$0","$2900","Holly McCormack"
"5329","Fat Apple Farm","$2900","$0","$2900","Holly McCormack"
"5330","Georgians for Verified Voting","$2900","$0","$2900","Holly McCormack"
"5331","K Rowe Investments","$2900","$0","$2900","Holly McCormack"
"5332","LHP Capital LLC","$2900","$0","$2900","Holly McCormack"
"5333","Club for Growth","$76883","$0","$76883","Richard McCormick"
"5334","Wilheit Packaging","$18500","$0","$18500","Richard McCormick"
"5335","Cox Enterprises","$14500","$0","$14500","Richard McCormick"
"5336","Jackson Healthcare","$14500","$0","$14500","Richard McCormick"
"5337","Hennessy Automobile","$14200","$0","$14200","Richard McCormick"
"5338","Abernathy Developmemt","$11600","$0","$11600","Richard McCormick"
"5339","Atlanta Flooring Design","$11600","$0","$11600","Richard McCormick"
"5340","Cajun Contractors","$11600","$0","$11600","Richard McCormick"
"5341","Casino Law Group","$11600","$0","$11600","Richard McCormick"
"5342","Great Point Partners","$11600","$0","$11600","Richard McCormick"
"5343","Wells Fargo","$17400","$0","$17400","Pat McCrory"
"5344","Nucor Corp","$15200","$2500","$12700","Pat McCrory"
"5345","Blackstone Group","$14500","$0","$14500","Pat McCrory"
"5346","Transportation Impact","$14200","$0","$14200","Pat McCrory"
"5347","Hendrick Automotive Group","$12600","$0","$12600","Pat McCrory"
"5348","Moore & Van Allen","$11700","$0","$11700","Pat McCrory"
"5349","Christie 55 Solutions","$11600","$0","$11600","Pat McCrory"
"5350","Hunt Companies","$11600","$0","$11600","Pat McCrory"
"5351","Adams Beverages of Nc LLC","$8700","$0","$8700","Pat McCrory"
"5352","Camre It Logistic","$8700","$0","$8700","Pat McCrory"
"5353","Votesane PAC","$82000","$0","$82000","Donald McEachin"
"5354","Altria Group","$37250","$10000","$27250","Donald McEachin"
"5355","Dominion Energy","$31350","$10000","$21350","Donald McEachin"
"5356","American Israel Public Affairs Cmte","$15000","$5000","$10000","Donald McEachin"
"5357","American Crystal Sugar","$10000","$10000","$0","Donald McEachin"
"5358","Capital One Financial","$10000","$10000","$0","Donald McEachin"
"5359","Common Ground PAC","$10000","$10000","$0","Donald McEachin"
"5360","Cox Enterprises","$10000","$10000","$0","Donald McEachin"
"5361","Forward Together PAC","$10000","$10000","$0","Donald McEachin"
"5362","Machinists/Aerospace Workers Union","$10000","$10000","$0","Donald McEachin"
"5363","Searcy, Denney et al","$10900","$0","$10900","Randi McGinn"
"5364","Greene, Broillet et al","$7050","$0","$7050","Randi McGinn"
"5365","Paulson Coletti","$5800","$0","$5800","Randi McGinn"
"5366","Davis Levin Livingston","$5600","$0","$5600","Randi McGinn"
"5367","Koskoff, Koskoff & Bieder","$5600","$0","$5600","Randi McGinn"
"5368","Kramer, Dillof et al","$5600","$0","$5600","Randi McGinn"
"5369","Segal Law Firm","$5600","$0","$5600","Randi McGinn"
"5370","American Assn for Justice","$5000","$5000","$0","Randi McGinn"
"5371","Gair, Gair et al","$3900","$0","$3900","Randi McGinn"
"5372","Carpenter, Zuckerman & Rowley","$3400","$0","$3400","Randi McGinn"
"5373","Cassidy & Assoc","$12300","$0","$12300","James P McGovern"
"5374","Air Line Pilots Assn","$10000","$10000","$0","James P McGovern"
"5375","American Federation of State/Cnty/Munic Employees","$10000","$10000","$0","James P McGovern"
"5376","American Federation of Teachers","$10000","$10000","$0","James P McGovern"
"5377","International Assn of Fire Fighters","$10000","$10000","$0","James P McGovern"
"5378","Laborers Union","$10000","$10000","$0","James P McGovern"
"5379","National Assn of Letter Carriers","$10000","$10000","$0","James P McGovern"
"5380","National Beer Wholesalers Assn","$10000","$10000","$0","James P McGovern"
"5381","Operating Engineers Union","$10000","$10000","$0","James P McGovern"
"5382","Painters & Allied Trades Union","$10000","$10000","$0","James P McGovern"
"5383","Kyriba","$2150","$0","$2150","John Mcguigan"
"5384","Everc","$1750","$0","$1750","John Mcguigan"
"5385","Evercompliant Inc","$1500","$0","$1500","John Mcguigan"
"5386","Lynk Global","$1000","$0","$1000","John Mcguigan"
"5387","US Dept of Commerce","$900","$0","$900","John Mcguigan"
"5388","CTIA","$500","$0","$500","John Mcguigan"
"5389","Girl Scout North Carolina Coas","$500","$0","$500","John Mcguigan"
"5390","Grupo Bimbo","$500","$0","$500","John Mcguigan"
"5391","Perkiomen School District","$500","$0","$500","John Mcguigan"
"5392","Sailpoint","$500","$0","$500","John Mcguigan"
"5393","Votesane PAC","$137300","$0","$137300","Patrick McHenry"
"5394","Alphabet Inc","$75750","$10000","$65750","Patrick McHenry"
"5395","Signature Bank","$69450","$0","$69450","Patrick McHenry"
"5396","MetLife Inc","$49150","$10000","$39150","Patrick McHenry"
"5397","Welsh, Carson et al","$48000","$0","$48000","Patrick McHenry"
"5398","DCI Group","$46000","$0","$46000","Patrick McHenry"
"5399","Blackstone Group","$34800","$0","$34800","Patrick McHenry"
"5400","Bank of New York Mellon","$34300","$10000","$24300","Patrick McHenry"
"5401","Fidelity Investments","$28750","$10000","$18750","Patrick McHenry"
"5402","JPMorgan Chase & Co","$28115","$10000","$18115","Patrick McHenry"
"5403","Ergon Inc","$26100","$0","$26100","David McKinley"
"5404","Invemed Assoc","$11600","$0","$11600","David McKinley"
"5405","Trian Partners","$11600","$0","$11600","David McKinley"
"5406","AFL-CIO","$11000","$11000","$0","David McKinley"
"5407","Steptoe & Johnson","$10500","$0","$10500","David McKinley"
"5408","Air Line Pilots Assn","$10000","$10000","$0","David McKinley"
"5409","American Nurses Assn","$10000","$10000","$0","David McKinley"
"5410","Associated General Contractors","$10000","$10000","$0","David McKinley"
"5411","BASF SE","$10000","$10000","$0","David McKinley"
"5412","Boilermakers Union","$10000","$10000","$0","David McKinley"
"5413","Fluid Partners","$1000","$0","$1000","Quincy McKnight"
"5414","Pen Cor","$800","$0","$800","Quincy McKnight"
"5415","Operation Rescue","$500","$0","$500","Quincy McKnight"
"5416","Winrock International","$500","$0","$500","Quincy McKnight"
"5417","Christian Churches Pension Plan","$250","$0","$250","Quincy McKnight"
"5418","Covenant Pay Partners","$250","$0","$250","Quincy McKnight"
"5419","Diwgroup","$250","$0","$250","Quincy McKnight"
"5420","Hom Group Real Estate","$250","$0","$250","Quincy McKnight"
"5421","Tl Williams & Assoc","$5000","$0","$5000","Marc McMain"
"5422","Element Funding","$3500","$0","$3500","Marc McMain"
"5423","Minerva Beauty","$3000","$0","$3000","Marc McMain"
"5424","Elite Storage Systems","$2900","$0","$2900","Marc McMain"
"5425","Fiber Optic Construction","$2900","$0","$2900","Marc McMain"
"5426","Hughes Electric Service","$2900","$0","$2900","Marc McMain"
"5427","Sunbelt Asphalt","$2500","$0","$2500","Marc McMain"
"5428","Rides the Wind Trailers","$2035","$0","$2035","Marc McMain"
"5429","Striplings","$2000","$0","$2000","Marc McMain"
"5430","Landcorps Inc","$1750","$0","$1750","Marc McMain"
"5431","Tl Williams & Assoc","$5000","$0","$5000","Marc McMain"
"5432","Element Funding","$3500","$0","$3500","Marc McMain"
"5433","Minerva Beauty","$3000","$0","$3000","Marc McMain"
"5434","Elite Storage Systems","$2900","$0","$2900","Marc McMain"
"5435","Fiber Optic Construction","$2900","$0","$2900","Marc McMain"
"5436","Hughes Electric Service","$2900","$0","$2900","Marc McMain"
"5437","Sunbelt Asphalt","$2500","$0","$2500","Marc McMain"
"5438","Rides the Wind Trailers","$2035","$0","$2035","Marc McMain"
"5439","Striplings","$2000","$0","$2000","Marc McMain"
"5440","Landcorps Inc","$1750","$0","$1750","Marc McMain"
"5441","General Atomics","$14590","$5000","$9590","Jerry McNerney"
"5442","University of California","$11605","$0","$11605","Jerry McNerney"
"5443","Painters & Allied Trades Union","$10000","$10000","$0","Jerry McNerney"
"5444","Teamsters Union","$7500","$7500","$0","Jerry McNerney"
"5445","J Street","$6085","$3000","$3085","Jerry McNerney"
"5446","Another Planet Entertainment","$5800","$0","$5800","Jerry McNerney"
"5447","Janus Henderson","$5800","$0","$5800","Jerry McNerney"
"5448","R&L Brosamer","$5800","$0","$5800","Jerry McNerney"
"5449","Alphabet Inc","$5400","$2000","$3400","Jerry McNerney"
"5450","American Assn for Justice","$5000","$5000","$0","Jerry McNerney"
"5451","Ashmi for Congress","$500","$500","$0","Matthew Meade"
"5452","Local Cantina","$25","$0","$25","Matthew Meade"
"5453","American Israel Public Affairs Cmte","$39050","$10000","$29050","Gregory W Meeks"
"5454","Apollo Global Management","$37950","$0","$37950","Gregory W Meeks"
"5455","Democracy Engine","$34800","$0","$34800","Gregory W Meeks"
"5456","Rock Holdings","$23700","$9500","$14200","Gregory W Meeks"
"5457","NorPAC","$23250","$0","$23250","Gregory W Meeks"
"5458","Blackstone Group","$23200","$0","$23200","Gregory W Meeks"
"5459","Related Companies","$23200","$0","$23200","Gregory W Meeks"
"5460","Akin, Gump et al","$18200","$5000","$13200","Gregory W Meeks"
"5461","Genesis 10","$17400","$0","$17400","Gregory W Meeks"
"5462","Pro-Israel America PAC","$16000","$0","$16000","Gregory W Meeks"
"5463","Igi","$2900","$0","$2900","Rikin Mehta"
"5464","Rutgers University","$2900","$0","$2900","Rikin Mehta"
"5465","Tulare/Va","$2500","$0","$2500","Rikin Mehta"
"5466","Uptown Allergy & Asthma","$2500","$0","$2500","Rikin Mehta"
"5467","Frnchise Owner","$2100","$0","$2100","Rikin Mehta"
"5468","Kirke Financial Services","$2000","$0","$2000","Rikin Mehta"
"5469","M3 Hotel Developers","$2000","$0","$2000","Rikin Mehta"
"5470","Aahia","$1500","$0","$1500","Rikin Mehta"
"5471","Baylor, Scott & White Health","$1001","$0","$1001","Rikin Mehta"
"5472","Bridgewater Capital LLC","$1000","$0","$1000","Rikin Mehta"
"5473","Rdv Corp","$37700","$0","$37700","Peter Meijer"
"5474","Meijer Inc","$34892","$0","$34892","Peter Meijer"
"5475","Pvs Chemicals","$34000","$0","$34000","Peter Meijer"
"5476","Ford Motor Co","$27666","$10000","$17666","Peter Meijer"
"5477","Blue Cross/Blue Shield","$26500","$11000","$15500","Peter Meijer"
"5478","Edward C Levy Co","$23000","$0","$23000","Peter Meijer"
"5479","Rock Holdings","$17100","$10000","$7100","Peter Meijer"
"5480","Amway/Alticor Inc","$15800","$10000","$5800","Peter Meijer"
"5481","Bissell Inc","$15500","$0","$15500","Peter Meijer"
"5482","DTE Energy","$14042","$10000","$4042","Peter Meijer"
"5483","American Israel Public Affairs Cmte","$34050","$4200","$29850","Grace Meng"
"5484","Elliott Management","$32580","$0","$32580","Grace Meng"
"5485","Pro-Israel America PAC","$17150","$0","$17150","Grace Meng"
"5486","New York Life Insurance","$10600","$10000","$600","Grace Meng"
"5487","Verizon Communications","$10250","$10000","$250","Grace Meng"
"5488","Air Line Pilots Assn","$10000","$10000","$0","Grace Meng"
"5489","American Federation of State/Cnty/Munic Employees","$10000","$10000","$0","Grace Meng"
"5490","American Federation of Teachers","$10000","$10000","$0","Grace Meng"
"5491","Asian American Forward","$10000","$10000","$0","Grace Meng"
"5492","Deloitte LLP","$10000","$10000","$0","Grace Meng"
"5493","Pride Mobility Products","$24192","$10000","$14192","Dan Meuser"
"5494","Robindale Energy Services","$14500","$0","$14500","Dan Meuser"
"5495","Goldman Sachs","$11600","$0","$11600","Dan Meuser"
"5496","Comcast Corp","$11000","$10000","$1000","Dan Meuser"
"5497","Eye of the Tiger PAC","$10000","$10000","$0","Dan Meuser"
"5498","Majority Cmte PAC","$10000","$10000","$0","Dan Meuser"
"5499","National Auto Dealers Assn","$10000","$10000","$0","Dan Meuser"
"5500","Operating Engineers Union","$10000","$10000","$0","Dan Meuser"
"5501","United Parcel Service","$10000","$10000","$0","Dan Meuser"
"5502","Council of Insurance Agents & Brokers","$9000","$9000","$0","Dan Meuser"
"5503","American Federation of State/Cnty/Munic Employees","$10000","$10000","$0","Kweisi Mfume"
"5504","American Federation of Teachers","$10000","$10000","$0","Kweisi Mfume"
"5505","American Israel Public Affairs Cmte","$10000","$10000","$0","Kweisi Mfume"
"5506","Home Depot","$10000","$10000","$0","Kweisi Mfume"
"5507","Laborers Union","$10000","$10000","$0","Kweisi Mfume"
"5508","National Beer Wholesalers Assn","$10000","$10000","$0","Kweisi Mfume"
"5509","Teamsters Union","$10000","$10000","$0","Kweisi Mfume"
"5510","National Assn of Realtors","$9000","$9000","$0","Kweisi Mfume"
"5511","American Assn for Justice","$7500","$7500","$0","Kweisi Mfume"
"5512","Sheet Metal, Air, Rail & Transportation Union","$7500","$7500","$0","Kweisi Mfume"
"5513","Murphy Pipeline Contractors","$2500","$0","$2500","Luis Miguel"
"5514","National Electrical Contractors Assn","$15000","$15000","$0","Carol Miller"
"5515","Kanawha Stone Co","$12600","$0","$12600","Carol Miller"
"5516","Cole Automotive Group","$11600","$0","$11600","Carol Miller"
"5517","Bill Gatton Chevrolet Cadillac","$11200","$0","$11200","Carol Miller"
"5518","Harry Green Chevrolet","$10800","$0","$10800","Carol Miller"
"5519","American Bankers Assn","$10000","$10000","$0","Carol Miller"
"5520","American Crystal Sugar","$10000","$10000","$0","Carol Miller"
"5521","American Electric Power","$10000","$10000","$0","Carol Miller"
"5522","Automotive Free International Trade PAC","$10000","$10000","$0","Carol Miller"
"5523","Huck PAC","$10000","$10000","$0","Carol Miller"
"5524","House Freedom Fund","$162696","$10000","$152696","Mary Miller"
"5525","Club for Growth","$61175","$0","$61175","Mary Miller"
"5526","Tri County Welding","$14700","$0","$14700","Mary Miller"
"5527","Drake Homes","$12600","$0","$12600","Mary Miller"
"5528","Rural King Supply","$11600","$0","$11600","Mary Miller"
"5529","Thompson Thrift","$11600","$0","$11600","Mary Miller"
"5530","American Crystal Sugar","$10000","$10000","$0","Mary Miller"
"5531","State of Illinois","$9650","$0","$9650","Mary Miller"
"5532","National Cattlemen's Beef Assn","$7500","$7500","$0","Mary Miller"
"5533","Gully Transportation","$7000","$0","$7000","Mary Miller"
"5534","Club for Growth","$105845","$1060","$104785","Max Miller"
"5535","Dream Motor Group","$20300","$0","$20300","Max Miller"
"5536","Boli Group","$17400","$0","$17400","Max Miller"
"5537","Brown Gibbons Lang & Co","$17400","$0","$17400","Max Miller"
"5538","Neuberger Berman LLC","$17400","$0","$17400","Max Miller"
"5539","Bernie Moreno Companies","$16205","$0","$16205","Max Miller"
"5540","Fast Food Systems","$11600","$0","$11600","Max Miller"
"5541","Foundations Health","$11600","$0","$11600","Max Miller"
"5542","Goldman Sachs","$11600","$0","$11600","Max Miller"
"5543","Graffiti Inc","$11600","$0","$11600","Max Miller"
"5544","American Humanist Assn","$500","$500","$0","Stephen Miller"
"5545","Burke Rehab Hospital","$240","$0","$240","Stephen Miller"
"5546","Cleveland International Fund","$240","$0","$240","Stephen Miller"
"5547","Democracy Engine","$31650","$0","$31650","Mariannette Miller-Meeks"
"5548","Stephens Inc","$17400","$0","$17400","Mariannette Miller-Meeks"
"5549","Affiliated Managers Group","$14500","$0","$14500","Mariannette Miller-Meeks"
"5550","Consumer Technology Assn","$12900","$10000","$2900","Mariannette Miller-Meeks"
"5551","New York Life Insurance","$12500","$12500","$0","Mariannette Miller-Meeks"
"5552","Supporting Electing American Leaders","$12500","$12500","$0","Mariannette Miller-Meeks"
"5553","Victory & Freedom PAC","$12500","$12500","$0","Mariannette Miller-Meeks"
"5554","Ball Ventures","$11600","$0","$11600","Mariannette Miller-Meeks"
"5555","Casey's General Stores","$11600","$0","$11600","Mariannette Miller-Meeks"
"5556","Crow Holdings","$11600","$0","$11600","Mariannette Miller-Meeks"
"5557","South Wake Capital","$14500","$0","$14500","Cory Mills"
"5558","Buckley Muething Capital Management","$11600","$0","$11600","Cory Mills"
"5559","Congressional Leadership Fund","$10000","$0","$10000","Cory Mills"
"5560","Madison Project","$10000","$10000","$0","Cory Mills"
"5561","National Assn of Realtors","$10000","$10000","$0","Cory Mills"
"5562","Apollo Ventures Partners","$5800","$0","$5800","Cory Mills"
"5563","Pacem","$5800","$0","$5800","Cory Mills"
"5564","Pacem Solutions International","$5800","$0","$5800","Cory Mills"
"5565","Gads PAC","$5000","$5000","$0","Cory Mills"
"5566","Pencor Services","$3875","$0","$3875","Cory Mills"
"5567","City of Miami","$2000","$0","$2000","Dennis Misigoy"
"5568","School District Osceola County","$1100","$0","$1100","Dennis Misigoy"
"5569","Private Equity Consultant","$300","$0","$300","Dennis Misigoy"
"5570","Warren Averett","$257","$0","$257","Dennis Misigoy"
"5571","Bay Pines","$250","$0","$250","Dennis Misigoy"
"5572","Lnc","$178","$0","$178","Dennis Misigoy"
"5573","Alsco Inc","$3900","$0","$3900","Nicholas Mitchell"
"5574","Sentry Financial","$1000","$0","$1000","Nicholas Mitchell"
"5575","Utah Valley University","$950","$0","$950","Nicholas Mitchell"
"5576","Davis County Democrats","$500","$0","$500","Nicholas Mitchell"
"5577","University of Utah","$300","$0","$300","Nicholas Mitchell"
"5578","State of Utah","$250","$0","$250","Nicholas Mitchell"
"5579","Zion Forever Project","$250","$0","$250","Nicholas Mitchell"
"5580","Women'S Democratic Club","$200","$0","$200","Nicholas Mitchell"
"5581","Pdc LLC","$100","$0","$100","Nicholas Mitchell"
"5582","Slco Democratice Party Progressive Caucu","$49","$0","$49","Nicholas Mitchell"
"5583","EMILY's List","$19150","$5000","$14150","Heather Mizeur"
"5584","WilmerHale Llp","$17500","$0","$17500","Heather Mizeur"
"5585","Avenue Solutions","$15050","$0","$15050","Heather Mizeur"
"5586","US Dept of Health & Human Services","$13850","$0","$13850","Heather Mizeur"
"5587","Steptoe & Johnson","$13450","$0","$13450","Heather Mizeur"
"5588","Clinical Care Options","$11600","$0","$11600","Heather Mizeur"
"5589","Conceptual Analytics LLC","$11600","$0","$11600","Heather Mizeur"
"5590","Northwest Biotherapeutics","$11600","$0","$11600","Heather Mizeur"
"5591","Synergics Energy Development","$11600","$0","$11600","Heather Mizeur"
"5592","Ut","$11600","$0","$11600","Heather Mizeur"
"5593","A&J Capital","$2100","$0","$2100","Willie Montague"
"5594","Government Data Services","$1353","$0","$1353","Willie Montague"
"5595","MK Morse Co","$1030","$0","$1030","Willie Montague"
"5596","Cathi-The-Contractor LLC","$1000","$0","$1000","Willie Montague"
"5597","Lake County Fire","$1000","$0","$1000","Willie Montague"
"5598","Westcare Foundation","$1000","$0","$1000","Willie Montague"
"5599","Dodson & Royzenblat Endodontics","$585","$0","$585","Willie Montague"
"5600","Excecutive","$580","$0","$580","Willie Montague"
"5601","Envera","$550","$0","$550","Willie Montague"
"5602","Heartland LLC (Florida)","$550","$0","$550","Willie Montague"
"5603","Dow Inc","$58075","$5000","$53075","John Moolenaar"
"5604","Edward C Levy Co","$17400","$0","$17400","John Moolenaar"
"5605","Three Rivers Corp","$17400","$0","$17400","John Moolenaar"
"5606","Amway/Alticor Inc","$16600","$5000","$11600","John Moolenaar"
"5607","Rdv Corp","$16600","$0","$16600","John Moolenaar"
"5608","Emergent BioSolutions","$15800","$10000","$5800","John Moolenaar"
"5609","Cadillac Casting","$15150","$0","$15150","John Moolenaar"
"5610","Chaldean Chamber of Commerce","$14100","$0","$14100","John Moolenaar"
"5611","Rock Holdings","$12500","$10000","$2500","John Moolenaar"
"5612","Fisher Companies LLC","$11700","$0","$11700","John Moolenaar"
"5613","House Freedom Fund","$102781","$10000","$92781","Alex Mooney"
"5614","Club for Growth","$64820","$0","$64820","Alex Mooney"
"5615","HSP Direct","$22300","$0","$22300","Alex Mooney"
"5616","Wells Fargo","$18700","$10000","$8700","Alex Mooney"
"5617","Franklin Resources","$17400","$0","$17400","Alex Mooney"
"5618","Alliance Building Solutions","$11600","$0","$11600","Alex Mooney"
"5619","ECS Federal","$11600","$0","$11600","Alex Mooney"
"5620","Fisher Investments","$11600","$0","$11600","Alex Mooney"
"5621","Park Square Realty","$11600","$0","$11600","Alex Mooney"
"5622","Burgerbusters Inc","$11200","$0","$11200","Alex Mooney"
"5623","Kykenkee Inc","$17400","$0","$17400","Barry Moore"
