"Contributor","Total","PACs","Individuals","Senator"
"SAIC","$500","$0","$500","Monica Carpio"
"Two Men & A Truck","$6000","$0","$6000","Stephen Carra"
"Mulder Property Management","$5900","$0","$5900","Stephen Carra"
"Defeating Communism PAC","$5000","$5000","$0","Stephen Carra"
"Save America","$5000","$5000","$0","Stephen Carra"
"Rock Holdings","$3795","$0","$3795","Stephen Carra"
"5 Star Pizza","$3600","$0","$3600","Stephen Carra"
"Clog Squad","$3000","$0","$3000","Stephen Carra"
"Education Professional","$2900","$0","$2900","Stephen Carra"
"Emergent BioSolutions","$2900","$0","$2900","Stephen Carra"
"Fast Food Systems","$2900","$0","$2900","Stephen Carra"
"Eli Lilly & Co","$13925","$10000","$3925","Andre Carson"
"American Crystal Sugar","$10000","$10000","$0","Andre Carson"
"Boeing Co","$10000","$10000","$0","Andre Carson"
"Carlyle Group","$10000","$10000","$0","Andre Carson"
"United Auto Workers","$10000","$10000","$0","Andre Carson"
"United Food & Commercial Workers Union","$10000","$10000","$0","Andre Carson"
"Sheet Metal, Air, Rail & Transportation Union","$8500","$8500","$0","Andre Carson"
"Bose, McKinney & Evans","$8300","$0","$8300","Andre Carson"
"Aircraft Owners & Pilots Assn","$7500","$7500","$0","Andre Carson"
"American Federation of State/Cnty/Munic Employees","$7500","$7500","$0","Andre Carson"
"American Israel Public Affairs Cmte","$22900","$7900","$15000","Buddy Carter"
"Medquest Pharmacy","$11600","$0","$11600","Buddy Carter"
"Resource Land Consultants","$11600","$0","$11600","Buddy Carter"
"Yancey Brothers","$11600","$0","$11600","Buddy Carter"
"Animal Wellness Action","$10900","$6500","$4400","Buddy Carter"
"Coleman Co","$10700","$0","$10700","Buddy Carter"
"General Dynamics","$10550","$7000","$3550","Buddy Carter"
"American Optometric Assn","$10500","$10000","$500","Buddy Carter"
"Southern Co","$10250","$10000","$250","Buddy Carter"
"AT&T Inc","$10100","$10000","$100","Buddy Carter"
"Western National Group","$17400","$0","$17400","John Carter"
"Scientific Research Corp","$15400","$0","$15400","John Carter"
"General Dynamics","$15250","$10000","$5250","John Carter"
"Trideum Corp","$14400","$0","$14400","John Carter"
"Dimensional Fund Advisors","$11600","$0","$11600","John Carter"
"Marcus Foundation","$11600","$0","$11600","John Carter"
"American Crystal Sugar","$10000","$10000","$0","John Carter"
"BAE Systems","$10000","$10000","$0","John Carter"
"Investments Ltd","$10000","$0","$10000","John Carter"
"Leonardo SpA","$10000","$10000","$0","John Carter"
"River Birch Inc","$22800","$0","$22800","Troy Carter"
"Ochsner Health System","$21750","$0","$21750","Troy Carter"
"National Assn of Letter Carriers","$20000","$20000","$0","Troy Carter"
"Jones Walker LLP","$18750","$13500","$5250","Troy Carter"
"Adams & Reese","$18250","$13500","$4750","Troy Carter"
"American Federation of Teachers","$17800","$17500","$300","Troy Carter"
"LHC Group","$17800","$10000","$7800","Troy Carter"
"American Federation of State/Cnty/Munic Employees","$17500","$17500","$0","Troy Carter"
"Tunica-Biloxi Tribe of Louisiana","$17000","$0","$17000","Troy Carter"
"Seafarers International Union","$16523","$16523","$0","Troy Carter"
"League of Conservation Voters","$102300","$6000","$96300","Matt Cartwright"
"Frontline USA","$36185","$7500","$28685","Matt Cartwright"
"Gentex","$32100","$10000","$22100","Matt Cartwright"
"GiveGreen United Action","$26180","$0","$26180","Matt Cartwright"
"Seafarers International Union","$18000","$18000","$0","Matt Cartwright"
"Boeing Co","$15300","$9000","$6300","Matt Cartwright"
"Swing Left","$14485","$0","$14485","Matt Cartwright"
"Regan, Zambri & Long","$13598","$0","$13598","Matt Cartwright"
"Levin, Sedran & Berman","$13550","$0","$13550","Matt Cartwright"
"Akin, Gump et al","$13250","$3000","$10250","Matt Cartwright"
"Blackstone Group","$23200","$0","$23200","Ed Case"
"No Labels","$13600","$5000","$8600","Ed Case"
"American Israel Public Affairs Cmte","$10000","$10000","$0","Ed Case"
"ATS Communications","$10000","$0","$10000","Ed Case"
"Blue Dog PAC","$10000","$10000","$0","Ed Case"
"International Brotherhood of Electrical Workers","$10000","$10000","$0","Ed Case"
"Wine & Spirits Wholesalers of America","$10000","$10000","$0","Ed Case"
"National Air Traffic Controllers Assn","$9000","$9000","$0","Ed Case"
"Chugach Native Assn","$8300","$8000","$300","Ed Case"
"American Council of Engineering Cos","$8000","$8000","$0","Ed Case"
"Democracy Engine","$90743","$0","$90743","Sean Casten"
"University of Chicago","$45824","$0","$45824","Sean Casten"
"J Street","$35618","$1000","$34618","Sean Casten"
"Discover Financial Services","$29515","$10000","$19515","Sean Casten"
"Northwestern University","$26872","$0","$26872","Sean Casten"
"Kirkland & Ellis","$26850","$0","$26850","Sean Casten"
"Invenergy LLC","$18140","$3000","$15140","Sean Casten"
"Candid Wines","$17400","$0","$17400","Sean Casten"
"US Dept of Energy","$17200","$0","$17200","Sean Casten"
"CME Group","$16936","$5000","$11936","Sean Casten"
"Walt Disney Co","$4370","$0","$4370","Jose Castillo"
"Micro Stamping Corp","$2000","$0","$2000","Jose Castillo"
"Famlee Investment Co","$1000","$0","$1000","Jose Castillo"
"Haverly Systems","$800","$0","$800","Jose Castillo"
"Brandt Equities LLC","$500","$0","$500","Jose Castillo"
"Royal Caribbean Group","$500","$0","$500","Jose Castillo"
"Pencor Services","$300","$0","$300","Jose Castillo"
"Mill Casino","$257","$0","$257","Jose Castillo"
"Alera Group","$250","$0","$250","Jose Castillo"
"Media Predict","$250","$0","$250","Jose Castillo"
"Democracy Engine","$79100","$0","$79100","Kathy Castor"
"National Assn of Broadcasters","$23450","$10000","$13450","Kathy Castor"
"University of South Florida","$19553","$0","$19553","Kathy Castor"
"Amscot Financial","$15800","$0","$15800","Kathy Castor"
"Carnival Corp","$13700","$5000","$8700","Kathy Castor"
"iHeartMedia Inc","$12000","$10000","$2000","Kathy Castor"
"Allure Group","$11600","$0","$11600","Kathy Castor"
"Axar Capital Management","$11600","$0","$11600","Kathy Castor"
"Blue Cross/Blue Shield","$11000","$11000","$0","Kathy Castor"
"Brown & Brown Insurance","$10250","$0","$10250","Kathy Castor"
"Fast Food Systems","$5800","$0","$5800","John Castorani"
"Mantech Corp","$3500","$0","$3500","John Castorani"
"Aquafusion Inc","$3020","$0","$3020","John Castorani"
"Dominion Power","$2900","$0","$2900","John Castorani"
"KBS Inc (Pennsylvania)","$2900","$0","$2900","John Castorani"
"Wcg Inc","$2900","$0","$2900","John Castorani"
"Bbva Bank","$2200","$0","$2200","John Castorani"
"Simmons Interiors","$2000","$0","$2000","John Castorani"
"Bachman Group","$1000","$0","$1000","John Castorani"
"Coordinates Operations LLC","$1000","$0","$1000","John Castorani"
"American Federation of State/Cnty/Munic Employees","$10000","$10000","$0","Joaquin Castro"
"American Federation of Teachers","$10000","$10000","$0","Joaquin Castro"
"Border Health","$10000","$10000","$0","Joaquin Castro"
"International Brotherhood of Electrical Workers","$10000","$10000","$0","Joaquin Castro"
"Laborers Union","$10000","$10000","$0","Joaquin Castro"
"National Education Assn","$10000","$10000","$0","Joaquin Castro"
"Service Employees International Union","$10000","$10000","$0","Joaquin Castro"
"Eleanor Crook Foundation","$9700","$0","$9700","Joaquin Castro"
"Farouk Systems","$8700","$0","$8700","Joaquin Castro"
"J Street","$8500","$6500","$2000","Joaquin Castro"
"Western National Group","$20300","$0","$20300","Madison Cawthorn"
"Dimensional Fund Advisors","$17400","$0","$17400","Madison Cawthorn"
"Marcus Foundation","$17400","$0","$17400","Madison Cawthorn"
"Archer Auto Group","$16500","$0","$16500","Madison Cawthorn"
"Green Rock LLC","$14500","$0","$14500","Madison Cawthorn"
"House Freedom Fund","$13600","$2000","$11600","Madison Cawthorn"
"X Strategies","$11900","$0","$11900","Madison Cawthorn"
"Teague Natural Farms","$11200","$0","$11200","Madison Cawthorn"
"WG Blount & Sons Farms","$10600","$0","$10600","Madison Cawthorn"
"Majority Cmte PAC","$10000","$10000","$0","Madison Cawthorn"
"Conger Construction Group","$8700","$0","$8700","Brent Centers"
"Bill Luke Chrysler/Jeep/Dodge","$5800","$0","$5800","Brent Centers"
"Monkey Bar & Grille","$2900","$0","$2900","Brent Centers"
"Utv Hitchworks","$2900","$0","$2900","Brent Centers"
"Valeri'S Family Tax","$2900","$0","$2900","Brent Centers"
"DR Real Estate LLC","$2500","$0","$2500","Brent Centers"
"General Mills","$2500","$0","$2500","Brent Centers"
"Owensville Bp","$2500","$0","$2500","Brent Centers"
"RDH Real Estate","$2500","$0","$2500","Brent Centers"
"Riversbend Liquor Store","$2500","$0","$2500","Brent Centers"
"American Financial Group","$26350","$0","$26350","Steve Chabot"
"Hunt Development","$23200","$0","$23200","Steve Chabot"
"American Israel Public Affairs Cmte","$19650","$7900","$11750","Steve Chabot"
"Keating, Muething & Klekamp","$18000","$0","$18000","Steve Chabot"
"Western & Southern Financial Group","$15600","$5000","$10600","Steve Chabot"
"Credit Union National Assn","$14500","$10000","$4500","Steve Chabot"
"Cintas Corp","$14200","$2000","$12200","Steve Chabot"
"Cincinnati Financial","$11900","$0","$11900","Steve Chabot"
"Dimensional Fund Advisors","$11600","$0","$11600","Steve Chabot"
"Entertrainment Junction","$11600","$0","$11600","Steve Chabot"
"Newest Lunch Schenectady","$1150","$0","$1150","Justin Chaires"
"Csl Plasma Schenectady, Ny","$575","$0","$575","Justin Chaires"
"Retired-Energy Research & Dev","$79","$0","$79","Justin Chaires"
"J Street","$46754","$0","$46754","Jay Chen"
"Democracy Engine","$34800","$0","$34800","Jay Chen"
"University of California","$33335","$0","$33335","Jay Chen"
"Alphabet Inc","$29023","$0","$29023","Jay Chen"
"Digidems PAC","$28000","$0","$28000","Jay Chen"
"Frontline USA","$17000","$2500","$14500","Jay Chen"
"Stanford University","$14601","$0","$14601","Jay Chen"
"Skybound Entertainment","$11850","$0","$11850","Jay Chen"
"Hydepark Capital Partners","$11600","$0","$11600","Jay Chen"
"Impex","$11600","$0","$11600","Jay Chen"
"Capital Group","$33950","$0","$33950","Liz Cheney"
"Akin, Gump et al","$27200","$0","$27200","Liz Cheney"
"Baupost Group","$24200","$0","$24200","Liz Cheney"
"Blackstone Group","$24200","$0","$24200","Liz Cheney"
"KKR & Co","$24000","$0","$24000","Liz Cheney"
"Winning for Women","$23200","$0","$23200","Liz Cheney"
"Pro-Israel America PAC","$20800","$0","$20800","Liz Cheney"
"Hunt Companies","$20300","$0","$20300","Liz Cheney"
"Station Casinos","$20300","$0","$20300","Liz Cheney"
"Latham & Watkins","$20050","$0","$20050","Liz Cheney"
"Fanjul Corp","$29000","$0","$29000","Sheila Cherfilus-Mccormick"
"Trinity Health Care Services","$17400","$0","$17400","Sheila Cherfilus-Mccormick"
"American Federation of Teachers","$10000","$10000","$0","Sheila Cherfilus-Mccormick"
"American Israel Public Affairs Cmte","$10000","$10000","$0","Sheila Cherfilus-Mccormick"
"Sheet Metal, Air, Rail & Transportation Union","$10000","$10000","$0","Sheila Cherfilus-Mccormick"
"Inova","$7800","$0","$7800","Sheila Cherfilus-Mccormick"
"Carnival Corp","$7000","$2000","$5000","Sheila Cherfilus-Mccormick"
"Ted Lieu for Congress","$6000","$6000","$0","Sheila Cherfilus-Mccormick"
"Anita International","$5800","$0","$5800","Sheila Cherfilus-Mccormick"
"JetBlue Airways","$5800","$0","$5800","Sheila Cherfilus-Mccormick"
"Adehvac","$1000","$0","$1000","Steve Chess"
"Acres Inc","$500","$0","$500","Steve Chess"
"Charles E Solak Cpa Pa","$500","$0","$500","Steve Chess"
"Two Men & A Truck","$500","$0","$500","Steve Chess"
"Ticket Clinic","$250","$0","$250","Steve Chess"
"McKinney Group Wealth Manag","$150","$0","$150","Earl Childress"
"Georgia Bobs Bbq","$1000","$0","$1000","Vivian Childs"
"Maggie's List","$1000","$1000","$0","Vivian Childs"
"Middle Georgia Orthopaedic","$1000","$0","$1000","Vivian Childs"
"Aldridge-Jordan Inc","$250","$0","$250","Vivian Childs"
"Steak & Shake Inc","$250","$0","$250","Vivian Childs"
"TEN-Tech Exec Networks","$200","$0","$200","Vivian Childs"
"Hunter & Beck Law Firm","$3000","$0","$3000","Candy Christophe"
"K Rowe Investments","$2900","$0","$2900","Candy Christophe"
"Teacher, Please Dont Email Me At Work","$2800","$0","$2800","Candy Christophe"
"VMWare Inc","$1500","$0","$1500","Candy Christophe"
"Ed Larvadain Jr & Assoc","$1000","$0","$1000","Candy Christophe"
"Gilchrist Construction","$1000","$0","$1000","Candy Christophe"
"Keller Enterprises","$1000","$0","$1000","Candy Christophe"
"NatPAC 1947","$1000","$500","$500","Candy Christophe"
"Tidewater Inc","$1000","$0","$1000","Candy Christophe"
"H&R Block","$850","$0","$850","Candy Christophe"
"Garfield Health Center","$11600","$0","$11600","Judy Chu"
"Royal Business Bank","$10200","$0","$10200","Judy Chu"
"American Crystal Sugar","$10000","$10000","$0","Judy Chu"
"American Federation of State/Cnty/Munic Employees","$10000","$10000","$0","Judy Chu"
"American Federation of Teachers","$10000","$10000","$0","Judy Chu"
"Carpenters & Joiners Union","$10000","$10000","$0","Judy Chu"
"Honeywell International","$10000","$10000","$0","Judy Chu"
"International Brotherhood of Electrical Workers","$10000","$10000","$0","Judy Chu"
"Machinists/Aerospace Workers Union","$10000","$10000","$0","Judy Chu"
"National Assn of Realtors","$10000","$10000","$0","Judy Chu"
"Watson Realty (Florida)","$1500","$0","$1500","Jon Chuba"
"Horizon Blue Cross","$549","$0","$549","Jon Chuba"
"Cecil W Powell & Co","$500","$0","$500","Jon Chuba"
"Frp Holdings","$250","$0","$250","Jon Chuba"
"Waterson Terminal Services","$40600","$0","$40600","David Cicilline"
"Brown University","$17420","$0","$17420","David Cicilline"
"Bain Capital","$14500","$0","$14500","David Cicilline"
"Beachwold Residential","$13550","$0","$13550","David Cicilline"
"Jana Partners","$11600","$0","$11600","David Cicilline"
"Kraft Group","$11600","$0","$11600","David Cicilline"
"Madison Dearborn Partners","$11600","$0","$11600","David Cicilline"
"Mark Foods","$11600","$0","$11600","David Cicilline"
"Yelp Inc","$11600","$0","$11600","David Cicilline"
"Tiber Creek Group","$10150","$0","$10150","David Cicilline"
"Votesane PAC","$94900","$0","$94900","Katherine Clark"
"J Street","$30150","$0","$30150","Katherine Clark"
"Brownstein, Hyatt et al","$17200","$7000","$10200","Katherine Clark"
"Rock Holdings","$15600","$8500","$7100","Katherine Clark"
"Takeda Pharmaceutical Co","$13500","$10000","$3500","Katherine Clark"
"Blackstone Group","$11600","$0","$11600","Katherine Clark"
"Blue Cross/Blue Shield","$11550","$5750","$5800","Katherine Clark"
"Akin, Gump et al","$11000","$5000","$6000","Katherine Clark"
"Intel Corp","$11000","$10000","$1000","Katherine Clark"
"Raytheon Technologies","$11000","$10000","$1000","Katherine Clark"
"American Israel Public Affairs Cmte","$21600","$10000","$11600","Yvette D Clarke"
"DaVita Inc","$18500","$4000","$14500","Yvette D Clarke"
"J Street","$15631","$1000","$14631","Yvette D Clarke"
"Condista Networks LLC","$12750","$0","$12750","Yvette D Clarke"
"National Assn of Broadcasters","$10116","$5000","$5116","Yvette D Clarke"
"American Federation of State/Cnty/Munic Employees","$10000","$10000","$0","Yvette D Clarke"
"American Federation of Teachers","$10000","$10000","$0","Yvette D Clarke"
"American Hospital Assn","$10000","$10000","$0","Yvette D Clarke"
"American Optometric Assn","$10000","$10000","$0","Yvette D Clarke"
"AT&T Inc","$10000","$10000","$0","Yvette D Clarke"
"Texas Transeastern","$1521","$0","$1521","Mark Clay"
"Ignite Outreach","$1000","$0","$1000","Mark Clay"
"Rock Holdings","$33200","$7500","$25700","Emanuel Cleaver"
"Hallmark Cards","$13700","$5000","$8700","Emanuel Cleaver"
"Edp Enterprises","$11600","$0","$11600","Emanuel Cleaver"
"American Council of Life Insurers","$10000","$10000","$0","Emanuel Cleaver"
"American Federation of State/Cnty/Munic Employees","$10000","$10000","$0","Emanuel Cleaver"
"American Israel Public Affairs Cmte","$10000","$10000","$0","Emanuel Cleaver"
"Appraisal Institute","$10000","$10000","$0","Emanuel Cleaver"
"Carpenters & Joiners Union","$10000","$10000","$0","Emanuel Cleaver"
"Credit Union National Assn","$10000","$10000","$0","Emanuel Cleaver"
"Ernst & Young","$10000","$10000","$0","Emanuel Cleaver"
"House Freedom Fund","$21600","$10000","$11600","Ben Cline"
"Csm Inc","$11500","$0","$11500","Ben Cline"
"American Bankers Assn","$10000","$10000","$0","Ben Cline"
"American Israel Public Affairs Cmte","$10000","$10000","$0","Ben Cline"
"BWX Technologies","$10000","$10000","$0","Ben Cline"
"Eye of the Tiger PAC","$10000","$10000","$0","Ben Cline"
"Majority Cmte PAC","$10000","$10000","$0","Ben Cline"
"National Auto Dealers Assn","$10000","$10000","$0","Ben Cline"
"National Turkey Federation","$10000","$10000","$0","Ben Cline"
"Holtzman Oil","$8700","$0","$8700","Ben Cline"
"House Freedom Fund","$21600","$10000","$11600","Michael Cloud"
"Cl Thomas Inc","$16224","$0","$16224","Michael Cloud"
"Koch Industries","$12250","$10000","$2250","Michael Cloud"
"Magic Industries","$11600","$0","$11600","Michael Cloud"
"Williams Brothers Construction","$11600","$0","$11600","Michael Cloud"
"USA Rice Federation","$11000","$11000","$0","Michael Cloud"
"Texas Farm Bureau","$10365","$9615","$750","Michael Cloud"
"American Crystal Sugar","$10000","$10000","$0","Michael Cloud"
"Cheniere Energy","$10000","$10000","$0","Michael Cloud"
"Farm Credit Council","$10000","$10000","$0","Michael Cloud"
"American Israel Public Affairs Cmte","$65600","$7900","$57700","James E Clyburn"
"THEGROUP","$16500","$0","$16500","James E Clyburn"
"Berkshire Hathaway","$15800","$10000","$5800","James E Clyburn"
"Microsoft Corp","$13400","$7500","$5900","James E Clyburn"
"Dell Technologies","$13000","$10000","$3000","James E Clyburn"
"AFLAC Inc","$12900","$10000","$2900","James E Clyburn"
"Dominion Energy","$12000","$10000","$2000","James E Clyburn"
"Capital Funding Group","$11600","$0","$11600","James E Clyburn"
"DISH Network","$11600","$0","$11600","James E Clyburn"
"Nephron Pharmaceuticals","$11600","$0","$11600","James E Clyburn"
