"Contributor","Total","PACs","Individuals","Senator"
"Commonwealth of Massachusetts","$1905","$0","$1905","Jesse Brown"
"Ironside Law Group","$1500","$0","$1500","Jesse Brown"
"K Rowe Investments","$5800","$0","$5800","Kathleen Brown"
"Save Democracy PAC","$5000","$5000","$0","Kathleen Brown"
"Wms","$3262","$0","$3262","Kathleen Brown"
"Blaine Purcell Md","$2154","$0","$2154","Kathleen Brown"
"Baker Farms","$1500","$0","$1500","Kathleen Brown"
"Dba: John Hirschi","$1500","$0","$1500","Kathleen Brown"
"Horton Neely Realtors","$1014","$0","$1014","Kathleen Brown"
"Panhandle Democrats","$1000","$0","$1000","Kathleen Brown"
"State of Texas Judiciary","$1000","$0","$1000","Kathleen Brown"
"The Gift Shop","$1000","$0","$1000","Kathleen Brown"
"Pro-Israel America PAC","$700116","$2500","$697616","Shontel Brown"
"American Israel Public Affairs Cmte","$150670","$7900","$142770","Shontel Brown"
"NorPAC","$87400","$4300","$83100","Shontel Brown"
"Rock Holdings","$31900","$15000","$16900","Shontel Brown"
"Elliott Management","$29580","$0","$29580","Shontel Brown"
"PNC Financial Services","$23200","$0","$23200","Shontel Brown"
"Forest City Enterprises","$21400","$0","$21400","Shontel Brown"
"American Federation of Teachers","$20000","$20000","$0","Shontel Brown"
"International Longshoremens Assn","$20000","$20000","$0","Shontel Brown"
"Operating Engineers Union","$20000","$20000","$0","Shontel Brown"
"Janney Montgomery Scott Llc","$23121","$0","$23121","Julia Brownley"
"Sparagna & Sparagna","$17400","$0","$17400","Julia Brownley"
"Democracy Engine","$13400","$0","$13400","Julia Brownley"
"Blue Cross/Blue Shield","$12300","$5000","$7300","Julia Brownley"
"Los Angeles County, CA","$11600","$0","$11600","Julia Brownley"
"Patagonia Works","$11600","$0","$11600","Julia Brownley"
"Ventura County, CA","$10650","$0","$10650","Julia Brownley"
"Air Line Pilots Assn","$10000","$10000","$0","Julia Brownley"
"Allied Pilots Assn","$10000","$10000","$0","Julia Brownley"
"Amalgamated Transit Union","$10000","$10000","$0","Julia Brownley"
"Votesane PAC","$99500","$0","$99500","Vernon Buchanan"
"Ryan LLC","$44100","$10000","$34100","Vernon Buchanan"
"American Israel Public Affairs Cmte","$40050","$10000","$30050","Vernon Buchanan"
"NextEra Energy","$39200","$5000","$34200","Vernon Buchanan"
"Advocate Radiation Oncology","$34000","$0","$34000","Vernon Buchanan"
"Publix Super Markets","$31000","$10000","$21000","Vernon Buchanan"
"Select Medical Holdings","$20600","$10000","$10600","Vernon Buchanan"
"Axxess Technology Solutions","$20000","$5000","$15000","Vernon Buchanan"
"Carnival Corp","$16600","$5000","$11600","Vernon Buchanan"
"National Beer Wholesalers Assn","$16500","$8500","$8000","Vernon Buchanan"
"American Israel Public Affairs Cmte","$34000","$10000","$24000","Ken Buck"
"House Freedom Fund","$28050","$10000","$18050","Ken Buck"
"DISH Network","$16600","$5000","$11600","Ken Buck"
"University of Colorado","$14850","$0","$14850","Ken Buck"
"Silencer Shop","$11400","$0","$11400","Ken Buck"
"Anheuser-Busch InBev","$10000","$10000","$0","Ken Buck"
"Charter Communications","$10000","$10000","$0","Ken Buck"
"Huck PAC","$10000","$10000","$0","Ken Buck"
"Koch Industries","$10000","$10000","$0","Ken Buck"
"Project West PAC","$10000","$10000","$0","Ken Buck"
"New York Cancer & Blood Specialists","$50000","$0","$50000","Larry Bucshon"
"DaVita Inc","$14250","$6500","$7750","Larry Bucshon"
"Urology of Indiana","$13750","$0","$13750","Larry Bucshon"
"Todd Strategy Group","$11700","$0","$11700","Larry Bucshon"
"United Companies","$10800","$0","$10800","Larry Bucshon"
"Roche Holdings","$10500","$10000","$500","Larry Bucshon"
"Mehlman, Castagnetti et al","$10300","$0","$10300","Larry Bucshon"
"Aluminum Assn","$10000","$10000","$0","Larry Bucshon"
"American Assn of Neurological Surgeons","$10000","$10000","$0","Larry Bucshon"
"American College of Cardiology","$10000","$10000","$0","Larry Bucshon"
"Club for Growth","$261567","$2850","$258717","Ted Budd"
"Senate Conservatives Fund","$140543","$10000","$130543","Ted Budd"
"Truist Financial","$25700","$10000","$15700","Ted Budd"
"Saulsbury Industries","$23200","$0","$23200","Ted Budd"
"Budd Group","$22800","$0","$22800","Ted Budd"
"Prestage Farms","$21250","$0","$21250","Ted Budd"
"Self Employed-Homemaker","$18700","$0","$18700","Ted Budd"
"Brighthouse Financial","$18100","$0","$18100","Ted Budd"
"Veterans Guardian VA Claim Consulting","$17255","$0","$17255","Ted Budd"
"Live Oak Bank","$16600","$5000","$11600","Ted Budd"
